	Id	Part2B	Part2T	Part1	Ref_Name
0	aaa				Ghotuo
1	aab				Alumu-Tesu
2	aac				Ari
3	aad				Amal
4	aae				Arbëreshë Albanian
5	aaf				Aranadan
6	aag				Ambrak
7	aah				Abu' Arapesh
8	aai				Arifama-Miniafia
9	aak				Ankave
10	aal				Afade
11	aan				Anambé
12	aao				Algerian Saharan Arabic
13	aap				Pará Arára
14	aaq				Eastern Abnaki
15	aar	aar	aar	aa	Afar
16	aas				Aasáx
17	aat				Arvanitika Albanian
18	aau				Abau
19	aaw				Solong
20	aax				Mandobo Atas
21	aaz				Amarasi
22	aba				Abé
23	abb				Bankon
24	abc				Ambala Ayta
25	abd				Manide
26	abe				Western Abnaki
27	abf				Abai Sungai
28	abg				Abaga
29	abh				Tajiki Arabic
30	abi				Abidji
31	abj				Aka-Bea
32	abk	abk	abk	ab	Abkhazian
33	abl				Lampung Nyo
34	abm				Abanyom
35	abn				Abua
36	abo				Abon
37	abp				Abellen Ayta
38	abq				Abaza
39	abr				Abron
40	abs				Ambonese Malay
41	abt				Ambulas
42	abu				Abure
43	abv				Baharna Arabic
44	abw				Pal
45	abx				Inabaknon
46	aby				Aneme Wake
47	abz				Abui
48	aca				Achagua
49	acb				Áncá
50	acd				Gikyode
51	ace	ace	ace		Achinese
52	acf				Saint Lucian Creole French
53	ach	ach	ach		Acoli
54	aci				Aka-Cari
55	ack				Aka-Kora
56	acl				Akar-Bale
57	acm				Mesopotamian Arabic
58	acn				Achang
59	acp				Eastern Acipa
60	acq				Ta'izzi-Adeni Arabic
61	acr				Achi
62	acs				Acroá
63	act				Achterhoeks
64	acu				Achuar-Shiwiar
65	acv				Achumawi
66	acw				Hijazi Arabic
67	acx				Omani Arabic
68	acy				Cypriot Arabic
69	acz				Acheron
70	ada	ada	ada		Adangme
71	adb				Atauran
72	add				Lidzonka
73	ade				Adele
74	adf				Dhofari Arabic
75	adg				Andegerebinha
76	adh				Adhola
77	adi				Adi
78	adj				Adioukrou
79	adl				Galo
80	adn				Adang
81	ado				Abu
82	adq				Adangbe
83	adr				Adonara
84	ads				Adamorobe Sign Language
85	adt				Adnyamathanha
86	adu				Aduge
87	adw				Amundava
88	adx				Amdo Tibetan
89	ady	ady	ady		Adyghe
90	adz				Adzera
91	aea				Areba
92	aeb				Tunisian Arabic
93	aec				Saidi Arabic
94	aed				Argentine Sign Language
95	aee				Northeast Pashai
96	aek				Haeke
97	ael				Ambele
98	aem				Arem
99	aen				Armenian Sign Language
100	aeq				Aer
101	aer				Eastern Arrernte
102	aes				Alsea
103	aeu				Akeu
104	aew				Ambakich
105	aey				Amele
106	aez				Aeka
107	afb				Gulf Arabic
108	afd				Andai
109	afe				Putukwam
110	afg				Afghan Sign Language
111	afh	afh	afh		Afrihili
112	afi				Akrukay
113	afk				Nanubae
114	afn				Defaka
115	afo				Eloyi
116	afp				Tapei
117	afr	afr	afr	af	Afrikaans
118	afs				Afro-Seminole Creole
119	aft				Afitti
120	afu				Awutu
121	afz				Obokuitai
122	aga				Aguano
123	agb				Legbo
124	agc				Agatu
125	agd				Agarabi
126	age				Angal
127	agf				Arguni
128	agg				Angor
129	agh				Ngelima
130	agi				Agariya
131	agj				Argobba
132	agk				Isarog Agta
133	agl				Fembe
134	agm				Angaataha
135	agn				Agutaynen
136	ago				Tainae
137	agq				Aghem
138	agr				Aguaruna
139	ags				Esimbi
140	agt				Central Cagayan Agta
141	agu				Aguacateco
142	agv				Remontado Dumagat
143	agw				Kahua
144	agx				Aghul
145	agy				Southern Alta
146	agz				Mt. Iriga Agta
147	aha				Ahanta
148	ahb				Axamb
149	ahg				Qimant
150	ahh				Aghu
151	ahi				Tiagbamrin Aizi
152	ahk				Akha
153	ahl				Igo
154	ahm				Mobumrin Aizi
155	ahn				Àhàn
156	aho				Ahom
157	ahp				Aproumu Aizi
158	ahr				Ahirani
159	ahs				Ashe
160	aht				Ahtena
161	aia				Arosi
162	aib				Ainu (China)
163	aic				Ainbai
164	aid				Alngith
165	aie				Amara
166	aif				Agi
167	aig				Antigua and Barbuda Creole English
168	aih				Ai-Cham
169	aii				Assyrian Neo-Aramaic
170	aij				Lishanid Noshan
171	aik				Ake
172	ail				Aimele
173	aim				Aimol
174	ain	ain	ain		Ainu (Japan)
175	aio				Aiton
176	aip				Burumakok
177	aiq				Aimaq
178	air				Airoran
179	ait				Arikem
180	aiw				Aari
181	aix				Aighon
182	aiy				Ali
183	aja				Aja (South Sudan)
184	ajg				Aja (Benin)
185	aji				Ajië
186	ajn				Andajin
187	ajp				South Levantine Arabic
188	ajt				Judeo-Tunisian Arabic
189	aju				Judeo-Moroccan Arabic
190	ajw				Ajawa
191	ajz				Amri Karbi
192	aka	aka	aka	ak	Akan
193	akb				Batak Angkola
194	akc				Mpur
195	akd				Ukpet-Ehom
196	ake				Akawaio
